,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90
6693,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,Yellow_Home,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-
6732,-,-,-,-,-,Goal_Away,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Own_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,Goal_Home,Goal_Home,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,Yellow_Away
6739,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Goal_Home,-,Yellow_Away,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,Goal_Home
6745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,Yellow_Away,-,Yellow_Home,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home
6748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,Yellow_Away,-,Yellow_Away,-,Red_Card_Away,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away
6765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,Yellow_Home,-,-,-,-,-,Goal_Home,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6777,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Red_Card_Away,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,Yellow_Home,-,-,Goal_Away,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,Goal_Home
6779,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,Goal_Away,-,Yellow_Home,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,Own_Home
6792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,Red_Card_Away,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,Goal_Home
6806,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,Yellow_Away,Yellow_Home,-,-,-,Yellow_Away,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-
6819,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,Yellow_Home,-,-,-,Goal_Away,-,-,-,Yellow_Home,-,Goal_Home,-,-,-,-,-,-,Red_Card_Home,-,Goal_Away,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-
6849,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-
6850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,Yellow_Home,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-
6860,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home
6871,-,-,-,-,-,-,Yellow_Home,Goal_Away,Yellow_Home,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,Red_Card_Home,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-
6900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6907,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,Goal_Away,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Yellow_Home,-,-,-,-,Yellow_Away,-,-,Yellow_Away,Yellow_Away,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-
6909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-
6922,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-
6949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,Yellow_Away,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-
6951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,Yellow_Away,-,Goal_Away,Red_Card_Away,-,-,-,Goal_Home
6952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,Goal_Home,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,Yellow_Away,-,Yellow_Home,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,Goal_Away,Goal_Home,-,Yellow_Away
7023,-,-,-,-,Goal_Home,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,-,Yellow_Away,-
7055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,Yellow_Away,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,Red_Card_Home,-,-,-,Goal_Home
7058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home
7073,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,Red_Card_Away,-,-,-,-,Goal_Home,Yellow_Away,-,Yellow_Away
7077,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,Yellow_Away,-,Goal_Home,-,-,-,-,-,-,-,-,Yellow_Away,Yellow_Home,Goal_Home,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Yellow_Away,-,Goal_Home,-,-,Yellow_Away,-,Goal_Home,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,Goal_Away
7094,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,Red_Card_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7098,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,Goal_Home,-,Yellow_Home,-,-,-,Goal_Home,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home
7113,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,Yellow_Away
7135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Goal_Home,-,-,-,Yellow_Home,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,Goal_Home,-,-,-,-,-,-,-
7141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Yellow_Away,-,-,Yellow_Home,-,Red_Card_Away,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-
7144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-
7146,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,Yellow_Away,-,-,-,-,-,-,-,-,Goal_Home,-,Yellow_Home,-,-,-,-,-,Yellow_Home,-
7157,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,Goal_Home,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-
7195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,Red_Card_Home,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-
7206,-,-,-,-,-,-,-,-,Red_Card_Home,Goal_Away,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7216,-,-,-,-,-,-,-,Own_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,Red_Card_Away
7233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,Goal_Away,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,Goal_Away,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Yellow_Home,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7251,-,-,-,-,-,-,-,Goal_Away,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-
7267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7282,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,Goal_Away,-,-,Yellow_Home,-,-,-
7292,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7295,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,Goal_Away,-,-,Yellow_Home,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-
7309,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-
7330,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,Yellow_Home,-,-,-,-,Yellow_Away,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,Yellow_Home,-,-,-,Goal_Home,-,-,-,-,-,-,-,-
7334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Goal_Home,Yellow_Away,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Yellow_Away,-,Goal_Home,-,-,-,Goal_Home,-,-,Red_Card_Away,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-
7341,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,Yellow_Away,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7343,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,Yellow_Away,Own_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,Red_Card_Away,-,-,Yellow_Away,-,-,-,Yellow_Home
7345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-
7347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,Yellow_Away,-,Yellow_Home,-,-,-,-,-,-,-,-,-,Goal_Away,Yellow_Away,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-
7367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,Goal_Home,-,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,Goal_Home,-,-,-,-,-,-,Red_Card_Home,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home
7388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-
7390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,Red_Card_Away,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-
7392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,Goal_Home,-,-,-,-,-,-,Goal_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goal_Home,-,-,-,Yellow_Away,-,Yellow_Away,-,-,-,-,-,-,-,-,Yellow_Away,Red_Card_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away
7417,-,-,-,-,-,-,-,-,Yellow_Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yellow_Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Red_Card_Home,-,-,-,-,-,-,-,Own_Away,-,-,-,-,-,-,-,-,-,Yellow_Home,-,Goal_Away
